%time,field.header.seq,field.header.stamp,field.header.frame_id,field.lat,field.lon,field.alt,field.utm_east,field.utm_north,field.zone_num,field.zone_letter
1580395698221603262,1,1580395698216651916,,42.3379316667,-70.4202716667,55.4,382999.73254,4688274.26751,19,T
1580395698520097592,2,1580395698516273975,,42.3379316667,-70.4202716667,55.4,382999.73254,4688274.26751,19,T
1580395698815458679,3,1580395698814296007,,42.3379316667,-70.4202716667,55.4,382999.73254,4688274.26751,19,T
1580395699420429551,4,1580395699416264057,,42.3379316667,-70.4202716667,55.3,382999.73254,4688274.26751,19,T
1580395699719702582,5,1580395699715950965,,42.3379316667,-70.4202733333,55.3,382999.595239,4688274.26981,19,T
1580395700013278689,6,1580395700012753963,,42.3379333333,-70.4202733333,55.2,382999.59833,4688274.45487,19,T
1580395700320114158,7,1580395700316260099,,42.3379333333,-70.4202733333,55.1,382999.59833,4688274.45487,19,T
1580395700620047749,8,1580395700616214990,,42.3379366667,-70.4202733333,55.0,382999.60451,4688274.825,19,T
1580395701220538311,9,1580395701216746091,,42.33794,-70.4202716667,54.8,382999.747991,4688275.19283,19,T
1580395701518756146,10,1580395701516298055,,42.3379433333,-70.4202716667,54.7,382999.754172,4688275.56296,19,T
1580395701820216900,11,1580395701816381931,,42.3379416667,-70.4202716667,54.7,382999.751082,4688275.3779,19,T
1580395702124393045,12,1580395702122819900,,42.3379433333,-70.4202716667,54.4,382999.754172,4688275.56296,19,T
1580395702420490872,13,1580395702416273117,,42.337945,-70.4202716667,54.3,382999.757262,4688275.74803,19,T
1580395703021023140,14,1580395703016513109,,42.337945,-70.4202716667,54.3,382999.757262,4688275.74803,19,T
1580395703320010527,15,1580395703316124916,,42.337945,-70.4202733333,54.2,382999.619962,4688275.75032,19,T
1580395703620958868,16,1580395703616364002,,42.3379483333,-70.4202733333,54.1,382999.626142,4688276.12045,19,T
1580395703920053041,17,1580395703916210889,,42.3379466667,-70.4202733333,54.1,382999.623052,4688275.93538,19,T
1580395704220164151,18,1580395704216317892,,42.3379483333,-70.4202733333,53.9,382999.626142,4688276.12045,19,T
1580395704820162490,19,1580395704816251039,,42.33795,-70.42027,53.7,382999.903834,4688276.30093,19,T
1580395705120685684,20,1580395705116777896,,42.3379483333,-70.4202716667,53.8,382999.763443,4688276.11816,19,T
