%time,field.header.seq,field.header.stamp,field.header.frame_id,field.lat,field.lon,field.alt,field.utm_east,field.utm_north,field.zone_num,field.zone_letter
1580587615253094570,1,1580587615249680995,,42.337205,-71.0902133333,24.0,327806.818875,4689332.68044,19,T
1580587616254332210,2,1580587616251948118,,42.337205,-71.0902133333,24.1,327806.818875,4689332.68044,19,T
1580587617253331835,3,1580587617249070882,,42.337205,-71.0902116667,24.2,327806.956182,4689332.67707,19,T
1580587618254980112,4,1580587618252506017,,42.337205,-71.0902116667,24.3,327806.956182,4689332.67707,19,T
1580587619251637699,5,1580587619249222993,,42.3372033333,-71.0902116667,24.4,327806.951632,4689332.492,19,T
1580587620248835937,6,1580587620244517087,,42.3372033333,-71.0902116667,24.4,327806.951632,4689332.492,19,T
1580587621248404962,7,1580587621245810985,,42.3372033333,-71.0902116667,24.5,327806.951632,4689332.492,19,T
1580587622256303506,8,1580587622253500938,,42.3372033333,-71.0902116667,24.6,327806.951632,4689332.492,19,T
1580587623269358328,9,1580587623264884948,,42.3372033333,-71.0902116667,24.7,327806.951632,4689332.492,19,T
1580587624258753857,10,1580587624252746105,,42.3372016667,-71.0902116667,24.7,327806.947083,4689332.30693,19,T
1580587625254831112,11,1580587625252259969,,42.3372016667,-71.0902116667,24.7,327806.947083,4689332.30693,19,T
1580587626255942683,12,1580587626253294944,,42.3372016667,-71.0902116667,24.8,327806.947083,4689332.30693,19,T
1580587627258342972,13,1580587627254241943,,42.3372016667,-71.0902116667,24.8,327806.947083,4689332.30693,19,T
1580587628269055309,14,1580587628266609907,,42.3372016667,-71.0902116667,24.8,327806.947083,4689332.30693,19,T
1580587629254617829,15,1580587629252031087,,42.3372016667,-71.0902116667,24.9,327806.947083,4689332.30693,19,T
1580587630250878110,16,1580587630249558925,,42.3372016667,-71.0902116667,24.9,327806.947083,4689332.30693,19,T
1580587631259837207,17,1580587631255099058,,42.3372016667,-71.0902116667,24.9,327806.947083,4689332.30693,19,T
1580587632247916994,18,1580587632247308969,,42.3372016667,-71.0902116667,24.9,327806.947083,4689332.30693,19,T
1580587633249817034,19,1580587633248802900,,42.3372016667,-71.0902116667,25.0,327806.947083,4689332.30693,19,T
1580587634248454920,20,1580587634245989084,,42.3372,-71.0902116667,25.0,327806.942534,4689332.12185,19,T
1580587635248107413,21,1580587635247446060,,42.3372,-71.0902116667,25.1,327806.942534,4689332.12185,19,T
1580587636272340347,22,1580587636267201900,,42.3372,-71.0902116667,25.2,327806.942534,4689332.12185,19,T
1580587637251880356,23,1580587637249335050,,42.3372,-71.09021,25.2,327807.079841,4689332.11848,19,T
1580587638255548992,24,1580587638252260923,,42.3371983333,-71.09021,25.3,327807.075292,4689331.93341,19,T
1580587639258034021,25,1580587639257162094,,42.3371983333,-71.09021,25.4,327807.075292,4689331.93341,19,T
1580587640263433787,26,1580587640262625932,,42.3371983333,-71.09021,25.4,327807.075292,4689331.93341,19,T
1580587641248760199,27,1580587641247086048,,42.3371983333,-71.09021,25.5,327807.075292,4689331.93341,19,T
1580587642271079215,28,1580587642266753911,,42.3371983333,-71.09021,25.6,327807.075292,4689331.93341,19,T
1580587643284662184,29,1580587643279793024,,42.3371983333,-71.09021,25.6,327807.075292,4689331.93341,19,T
1580587644247737248,30,1580587644243865013,,42.3371983333,-71.09021,25.7,327807.075292,4689331.93341,19,T
1580587645270601613,31,1580587645265692949,,42.3371966667,-71.09021,25.8,327807.070743,4689331.74834,19,T
1580587646249762902,32,1580587646247798919,,42.3371966667,-71.09021,25.8,327807.070743,4689331.74834,19,T
1580587647266860876,33,1580587647263042926,,42.3371966667,-71.0902083333,25.9,327807.20805,4689331.74496,19,T
