%time,field.header.seq,field.header.stamp,field.header.frame_id,field.lat,field.lon,field.alt,field.utm_east,field.utm_north,field.zone_num,field.zone_letter
1580317908157013131,1,1580317908153846979,,42.3395783333,-70.4215133333,80.1,382900.499484,4688458.82,19,T
1580317910578373020,2,1580317910574518918,,42.3395783333,-70.421515,79.9,382900.362187,4688458.8223,19,T
1580317916573199428,3,1580317916572702884,,42.33958,-70.421515,79.8,382900.36528,4688459.00736,19,T
1580317919576751040,4,1580317919574381113,,42.33958,-70.421515,79.6,382900.36528,4688459.00736,19,T
1580317922578959303,5,1580317922575063943,,42.33958,-70.4215166667,79.5,382900.227983,4688459.00966,19,T
1580317925578644716,6,1580317925574737071,,42.33958,-70.4215166667,79.4,382900.227983,4688459.00966,19,T
1580317928578537630,7,1580317928574632883,,42.33958,-70.4215183333,79.2,382900.090686,4688459.01195,19,T
1580317934578017315,8,1580317934575635910,,42.33958,-70.4215183333,79.1,382900.090686,4688459.01195,19,T
1580317937576857489,9,1580317937574666023,,42.33958,-70.42152,78.9,382899.953388,4688459.01425,19,T
1580317940576724480,10,1580317940574623107,,42.33958,-70.42152,78.8,382899.953388,4688459.01425,19,T
1580317943570578687,11,1580317943569914102,,42.33958,-70.4215216667,78.6,382899.816091,4688459.01654,19,T
1580317946578483246,12,1580317946574568033,,42.3395816667,-70.4215216667,78.5,382899.819185,4688459.20161,19,T
1580317952577327758,13,1580317952575140953,,42.3395816667,-70.4215233333,78.3,382899.681887,4688459.2039,19,T
1580317955576814475,14,1580317955574660062,,42.3395816667,-70.4215233333,78.1,382899.681887,4688459.2039,19,T
1580317958573180707,15,1580317958572676897,,42.3395833333,-70.421525,77.8,382899.547684,4688459.39126,19,T
1580317961576837116,16,1580317961574646949,,42.3395833333,-70.4215266667,77.6,382899.410386,4688459.39356,19,T
1580317964577929188,17,1580317964575508117,,42.3395833333,-70.4215266667,77.4,382899.410386,4688459.39356,19,T
1580317970578531214,18,1580317970574625015,,42.339585,-70.4215283333,77.2,382899.276183,4688459.58091,19,T
1580317973576012168,19,1580317973573822975,,42.339585,-70.4215283333,77.0,382899.276183,4688459.58091,19,T
1580317976579628238,20,1580317976575088024,,42.339585,-70.42153,76.8,382899.138885,4688459.58321,19,T
1580317979577545705,21,1580317979575144052,,42.3395866667,-70.42153,76.5,382899.141979,4688459.76827,19,T
1580317982578494949,22,1580317982574585914,,42.3395866667,-70.4215316667,76.3,382899.004682,4688459.77057,19,T
1580317988579046680,23,1580317988574960947,,42.3395883333,-70.4215316667,76.1,382899.007775,4688459.95563,19,T
1580317991578719694,24,1580317991574642896,,42.3395883333,-70.4215333333,75.9,382898.870478,4688459.95793,19,T
1580317994577757507,25,1580317994575398921,,42.3395883333,-70.4215333333,75.7,382898.870478,4688459.95793,19,T
1580317997579169886,26,1580317997574928045,,42.33959,-70.421535,75.4,382898.736274,4688460.14529,19,T
1580318000578674274,27,1580318000574685096,,42.33959,-70.4215366667,75.1,382898.598977,4688460.14758,19,T
1580318006579268654,28,1580318006575439929,,42.33959,-70.4215383333,74.8,382898.46168,4688460.14988,19,T
1580318009577392278,29,1580318009574975967,,42.3395916667,-70.42154,74.5,382898.327476,4688460.33724,19,T
1580318012576843783,30,1580318012574558973,,42.3395916667,-70.4215416667,74.2,382898.190179,4688460.33953,19,T
1580318015578809735,31,1580318015574785947,,42.3395916667,-70.4215433333,73.9,382898.052882,4688460.34183,19,T
1580318018579369067,32,1580318018575309991,,42.3395916667,-70.421545,73.6,382897.915585,4688460.34412,19,T
1580318024571996484,33,1580318024571350097,,42.3395933333,-70.421545,73.4,382897.918678,4688460.52918,19,T
1580318027578052422,34,1580318027574186086,,42.3395933333,-70.4215466667,73.3,382897.781381,4688460.53148,19,T
1580318030578848031,35,1580318030574845075,,42.3395933333,-70.4215466667,73.1,382897.781381,4688460.53148,19,T
1580318033577000406,36,1580318033574789047,,42.339595,-70.4215483333,72.9,382897.647177,4688460.71884,19,T
1580318036569497753,37,1580318036568883895,,42.339595,-70.4215483333,72.7,382897.647177,4688460.71884,19,T
1580318042578405266,38,1580318042574528932,,42.339595,-70.42155,72.5,382897.50988,4688460.72113,19,T
1580318045579070958,39,1580318045575109958,,42.3395966667,-70.42155,72.4,382897.512973,4688460.9062,19,T
1580318048578159081,40,1580318048574197053,,42.3395966667,-70.42155,72.2,382897.512973,4688460.9062,19,T
1580318051577755407,41,1580318051573720932,,42.3395966667,-70.4215516667,72.0,382897.375676,4688460.90849,19,T
1580318054580325785,42,1580318054575367927,,42.3395966667,-70.4215516667,71.9,382897.375676,4688460.90849,19,T
1580318060580944398,43,1580318060575010061,,42.3395983333,-70.4215516667,71.7,382897.378769,4688461.09356,19,T
1580318063571496859,44,1580318063570882081,,42.3395983333,-70.4215533333,71.6,382897.241472,4688461.09585,19,T
1580318066580443580,45,1580318066574719905,,42.3395983333,-70.4215533333,71.4,382897.241472,4688461.09585,19,T
1580318069579052437,46,1580318069575193881,,42.3395983333,-70.4215533333,71.3,382897.241472,4688461.09585,19,T
1580318072579997461,47,1580318072574702978,,42.3396,-70.421555,71.2,382897.107268,4688461.28321,19,T
1580318078579244805,48,1580318078573760032,,42.3396,-70.421555,71.1,382897.107268,4688461.28321,19,T
1580318081573558156,49,1580318081573035001,,42.3396,-70.421555,71.1,382897.107268,4688461.28321,19,T
1580318084581691726,50,1580318084579014062,,42.3396,-70.421555,71.0,382897.107268,4688461.28321,19,T
1580318087578406864,51,1580318087574212074,,42.3396,-70.421555,70.9,382897.107268,4688461.28321,19,T
1580318090581254683,52,1580318090574517965,,42.3396,-70.421555,70.9,382897.107268,4688461.28321,19,T
1580318096593002960,53,1580318096578169107,,42.3396,-70.421555,70.8,382897.107268,4688461.28321,19,T
1580318099575005725,54,1580318099574403047,,42.3396,-70.4215566667,70.8,382896.969971,4688461.28551,19,T
1580318102574867494,55,1580318102574356079,,42.3396,-70.4215566667,70.7,382896.969971,4688461.28551,19,T
1580318105574856807,56,1580318105574347972,,42.3396,-70.4215566667,70.6,382896.969971,4688461.28551,19,T
1580318108580500413,57,1580318108577204942,,42.3396,-70.4215566667,70.5,382896.969971,4688461.28551,19,T
1580318114570302038,58,1580318114569580078,,42.3396016667,-70.4215566667,70.5,382896.973064,4688461.47057,19,T
1580318117580478559,59,1580318117577102899,,42.3396016667,-70.4215566667,70.4,382896.973064,4688461.47057,19,T
