%time,field.header.seq,field.header.stamp,field.header.frame_id,field.lat,field.lon,field.alt,field.utm_east,field.utm_north,field.zone_num,field.zone_letter
1580582187170036001,1,1580582187166903972,,42.33959,-71.0884216667,49.4,327960.928185,4689593.88988,19,T
1580582188169135351,2,1580582188164851903,,42.3395933333,-71.08842,49.2,327961.074578,4689594.25664,19,T
1580582189143315413,3,1580582189139003038,,42.339595,-71.08842,48.9,327961.079123,4689594.44172,19,T
1580582190170255630,4,1580582190165958881,,42.3395966667,-71.0884183333,48.7,327961.22097,4689594.62341,19,T
1580582191169122857,5,1580582191166768074,,42.3395983333,-71.0884166667,48.5,327961.362817,4689594.80511,19,T
1580582192168521534,6,1580582192166177034,,42.3396,-71.0884166667,48.3,327961.367363,4689594.99018,19,T
1580582193169476429,7,1580582193167129039,,42.3396016667,-71.088415,48.1,327961.50921,4689595.17188,19,T
1580582194170143845,8,1580582194167795896,,42.3396033333,-71.088415,47.9,327961.513755,4689595.35695,19,T
1580582195145230232,9,1580582195140945911,,42.339605,-71.0884133333,47.7,327961.655603,4689595.53865,19,T
1580582196146625814,10,1580582196142188072,,42.3396066667,-71.0884116667,47.5,327961.79745,4689595.72035,19,T
1580582197157070798,11,1580582197154738903,,42.3396083333,-71.0884116667,47.3,327961.801995,4689595.90542,19,T
1580582198148010202,12,1580582198143759012,,42.3396083333,-71.0884116667,47.3,327961.801995,4689595.90542,19,T
1580582199147981345,13,1580582199143815994,,42.33961,-71.08841,47.2,327961.943842,4689596.08712,19,T
1580582200148132015,14,1580582200143841981,,42.33961,-71.08841,47.2,327961.943842,4689596.08712,19,T
1580582201145951855,15,1580582201141625881,,42.33961,-71.0884083333,47.1,327962.081144,4689596.08375,19,T
1580582202146475092,16,1580582202144133090,,42.33961,-71.0884083333,47.0,327962.081144,4689596.08375,19,T
1580582203145981758,17,1580582203141952037,,42.33961,-71.0884083333,47.0,327962.081144,4689596.08375,19,T
1580582204147381300,18,1580582204143284082,,42.33961,-71.0884066667,46.9,327962.218445,4689596.08037,19,T
1580582205141310267,19,1580582205140799045,,42.3396116667,-71.0884066667,46.8,327962.222991,4689596.26544,19,T
1580582206147942924,20,1580582206145533084,,42.3396116667,-71.0884066667,46.7,327962.222991,4689596.26544,19,T
1580582207160709000,21,1580582207156058073,,42.3396116667,-71.0884066667,46.6,327962.222991,4689596.26544,19,T
1580582208149454892,22,1580582208147186040,,42.3396116667,-71.0884066667,46.6,327962.222991,4689596.26544,19,T
1580582209147412388,23,1580582209145684003,,42.3396133333,-71.088405,46.5,327962.364838,4689596.44714,19,T
1580582210150663224,24,1580582210146523952,,42.3396133333,-71.088405,46.5,327962.364838,4689596.44714,19,T
1580582211149001276,25,1580582211146681070,,42.3396133333,-71.088405,46.4,327962.364838,4689596.44714,19,T
1580582212153016165,26,1580582212150701045,,42.3396133333,-71.088405,46.3,327962.364838,4689596.44714,19,T
1580582213150945644,27,1580582213148614883,,42.339615,-71.088405,46.3,327962.369383,4689596.63221,19,T
1580582214152705935,28,1580582214150434017,,42.339615,-71.088405,46.2,327962.369383,4689596.63221,19,T
1580582215155468400,29,1580582215150777101,,42.339615,-71.0884033333,46.1,327962.506685,4689596.62884,19,T
1580582216154681419,30,1580582216150443077,,42.3396166667,-71.0884033333,46.0,327962.51123,4689596.81391,19,T
1580582217153958398,31,1580582217151639938,,42.3396166667,-71.0884033333,45.9,327962.51123,4689596.81391,19,T
1580582218154644330,32,1580582218152148962,,42.3396166667,-71.0884033333,45.8,327962.51123,4689596.81391,19,T
1580582219155084309,33,1580582219152695894,,42.3396166667,-71.0884033333,45.7,327962.51123,4689596.81391,19,T
1580582220155355588,34,1580582220153052091,,42.3396183333,-71.0884016667,45.7,327962.653077,4689596.99561,19,T
1580582221158077723,35,1580582221153444051,,42.3396183333,-71.0884016667,45.6,327962.653077,4689596.99561,19,T
1580582222186639430,36,1580582222183670997,,42.3396183333,-71.0884016667,45.5,327962.653077,4689596.99561,19,T
1580582223187073959,37,1580582223184717893,,42.33962,-71.0884016667,45.4,327962.657623,4689597.18068,19,T
1580582224186788887,38,1580582224184508085,,42.33962,-71.0884,45.4,327962.794925,4689597.17731,19,T
1580582225189136849,39,1580582225184845924,,42.33962,-71.0884,45.3,327962.794925,4689597.17731,19,T
1580582226188364272,40,1580582226186098098,,42.3396216667,-71.0884,45.2,327962.79947,4689597.36238,19,T
1580582227188763771,41,1580582227186446905,,42.3396216667,-71.0883983333,45.2,327962.936772,4689597.35901,19,T
1580582228190287084,42,1580582228187933921,,42.3396216667,-71.0883983333,45.1,327962.936772,4689597.35901,19,T
1580582229187105738,43,1580582229186598062,,42.3396233333,-71.0883983333,45.0,327962.941317,4689597.54408,19,T
1580582230191517244,44,1580582230186888933,,42.3396233333,-71.0883966667,45.0,327963.078619,4689597.54071,19,T
1580582231163458883,45,1580582231161060094,,42.3396233333,-71.0883966667,45.0,327963.078619,4689597.54071,19,T
1580582232193669043,46,1580582232189254999,,42.3396233333,-71.0883966667,44.9,327963.078619,4689597.54071,19,T
1580582233165677104,47,1580582233161300897,,42.3396233333,-71.0883966667,44.9,327963.078619,4689597.54071,19,T
1580582234191486246,48,1580582234187798976,,42.339625,-71.0883966667,44.9,327963.083164,4689597.72578,19,T
1580582235184819133,49,1580582235183809041,,42.339625,-71.0883966667,44.9,327963.083164,4689597.72578,19,T
1580582236190258161,50,1580582236187966108,,42.339625,-71.0883966667,44.9,327963.083164,4689597.72578,19,T
1580582237195394616,51,1580582237194396018,,42.339625,-71.088395,44.8,327963.220466,4689597.7224,19,T
1580582238192570518,52,1580582238188262939,,42.3396366667,-71.0883833333,43.1,327964.213394,4689598.99429,19,T
1580582239192014267,53,1580582239189414024,,42.3396466667,-71.0883733333,42.0,327965.064476,4689600.08449,19,T
1580582240162508153,54,1580582240159749031,,42.3396483333,-71.0883733333,42.0,327965.069021,4689600.26956,19,T
1580582241181989156,55,1580582241181210994,,42.3396483333,-71.0883733333,42.0,327965.069021,4689600.26956,19,T
