%time,field.header.seq,field.header.stamp,field.header.frame_id,field.lat,field.lon,field.alt,field.utm_east,field.utm_north,field.zone_num,field.zone_letter
1580338015398136290,1,1580338015394987106,,42.3403083333,-70.4219466667,17.1,382866.157444,4688540.47497,19,T
1580338016373708162,2,1580338016368633031,,42.3403066667,-70.4219516667,16.4,382865.742463,4688540.29679,19,T
1580338017398501283,3,1580338017396123886,,42.340305,-70.4219583333,15.9,382865.190187,4688540.12091,19,T
1580338018397141291,4,1580338018396373033,,42.3403033333,-70.4219666667,15.4,382864.500615,4688539.94732,19,T
1580338019373966035,5,1580338019369666099,,42.3403,-70.421975,15.1,382863.80795,4688539.58867,19,T
1580338020398558979,6,1580338020395355939,,42.3402966667,-70.4219833333,14.8,382863.115284,4688539.23002,19,T
1580338021402821301,7,1580338021398350954,,42.340295,-70.4219933333,14.6,382862.288416,4688539.05873,19,T
1580338022400389293,8,1580338022396069049,,42.3402916667,-70.4220016667,14.4,382861.59575,4688538.70008,19,T
1580338023398922770,9,1580338023394633054,,42.3402883333,-70.4220116667,14.2,382860.765789,4688538.34372,19,T
1580338024392605824,10,1580338024391836881,,42.3402866667,-70.4220216667,14.1,382859.938921,4688538.17243,19,T
1580338025402484796,11,1580338025400132894,,42.3402833333,-70.4220333333,14.0,382858.971664,4688537.81837,19,T
1580338026399621689,12,1580338026397212028,,42.34028,-70.4220433333,14.0,382858.141702,4688537.46201,19,T
1580338027399864923,13,1580338027397383928,,42.3402766667,-70.422055,13.9,382857.174445,4688537.10795,19,T
1580338028401129425,14,1580338028396848917,,42.340275,-70.4220633333,13.9,382856.484873,4688536.93437,19,T
1580338029399107302,15,1580338029396569013,,42.3402716667,-70.42207,14.0,382855.929502,4688536.57342,19,T
1580338030399510749,16,1580338030395193099,,42.3402683333,-70.4220783333,14.0,382855.236835,4688536.21477,19,T
1580338031395037608,17,1580338031391290903,,42.3402666667,-70.422085,13.9,382854.684559,4688536.03889,19,T
1580338032398231108,18,1580338032393707990,,42.3402633333,-70.4220933333,13.9,382853.991892,4688535.68024,19,T
1580338033400189958,19,1580338033397773981,,42.3402616667,-70.4221,13.7,382853.439615,4688535.50436,19,T
1580338034400318280,20,1580338034395519971,,42.3402583333,-70.42211,13.7,382852.609653,4688535.148,19,T
1580338035410964170,21,1580338035408698081,,42.340255,-70.4221216667,13.7,382851.642395,4688534.79394,19,T
1580338036398117451,22,1580338036395800113,,42.3402516667,-70.4221316667,13.7,382850.812432,4688534.43759,19,T
1580338037400834529,23,1580338037396287918,,42.3402466667,-70.4221416667,13.8,382849.979375,4688533.89617,19,T
1580338038370316799,24,1580338038368022918,,42.3402433333,-70.4221533333,13.8,382849.012116,4688533.54211,19,T
1580338039370449625,25,1580338039368108034,,42.34024,-70.4221633333,13.8,382848.182153,4688533.18575,19,T
1580338040381009813,26,1580338040378648996,,42.3402383333,-70.422175,14.0,382847.217989,4688533.01676,19,T
