%time,field.header.seq,field.header.stamp,field.header.frame_id,field.lat,field.lon,field.alt,field.utm_east,field.utm_north,field.zone_num,field.zone_letter
1580341149312728730,1,1580341149312223911,,42.3396633333,-70.4215,50.5,382901.755607,4688468.23993,19,T
1580341150313253694,2,1580341150312814950,,42.3396633333,-70.42151,49.5,382900.931826,4688468.2537,19,T
1580341151313512885,3,1580341151313112020,,42.3396633333,-70.421515,48.8,382900.519935,4688468.26059,19,T
1580341152313377499,4,1580341152312978029,,42.3396616667,-70.4215233333,48.2,382899.830357,4688468.087,19,T
1580341153313886462,5,1580341153313225030,,42.3396616667,-70.42153,47.8,382899.28117,4688468.09618,19,T
1580341154336279524,6,1580341154335658073,,42.33966,-70.42154,48.6,382898.454295,4688467.92488,19,T
1580341155315169628,7,1580341155314742088,,42.3396583333,-70.4215483333,49.5,382897.764718,4688467.75129,19,T
1580341156353034836,8,1580341156352618932,,42.3396566667,-70.421555,50.1,382897.212437,4688467.5754,19,T
1580341157353363422,9,1580341157352962017,,42.3396583333,-70.42156,50.8,382896.803639,4688467.76735,19,T
1580341158356512594,10,1580341158355808019,,42.339655,-70.42156,51.5,382896.797453,4688467.39722,19,T
1580341159368802924,11,1580341159368407011,,42.3396533333,-70.42156,52.1,382896.79436,4688467.21216,19,T
1580341160356451822,12,1580341160356041908,,42.3396516667,-70.4215583333,53.1,382896.928563,4688467.0248,19,T
1580341161318211220,13,1580341161317783117,,42.33965,-70.4215566667,54.5,382897.062767,4688466.83744,19,T
1580341162318789797,14,1580341162318386077,,42.33965,-70.4215583333,55.6,382896.92547,4688466.83973,19,T
1580341163358831773,15,1580341163358424901,,42.33965,-70.4215566667,56.6,382897.062767,4688466.83744,19,T
1580341164371104468,16,1580341164370708942,,42.3396516667,-70.421555,57.5,382897.203157,4688467.02021,19,T
1580341165357009749,17,1580341165356606006,,42.3396516667,-70.4215533333,59.2,382897.340454,4688467.01792,19,T
1580341166320966453,18,1580341166320539951,,42.3396516667,-70.4215533333,59.1,382897.340454,4688467.01792,19,T
1580341167361282041,19,1580341167360866069,,42.3396516667,-70.4215533333,59.1,382897.340454,4688467.01792,19,T
1580341168361155826,20,1580341168360758066,,42.3396516667,-70.4215533333,59.1,382897.340454,4688467.01792,19,T
1580341169373527528,21,1580341169373132944,,42.3396516667,-70.4215533333,59.1,382897.340454,4688467.01792,19,T
1580341170374386758,22,1580341170373868942,,42.3396516667,-70.4215533333,59.1,382897.340454,4688467.01792,19,T
