%time,field.header.seq,field.header.stamp,field.header.frame_id,field.lat,field.lon,field.alt,field.utm_east,field.utm_north,field.zone_num,field.zone_letter
1580409268313756830,1,1580409268308444976,,42.337255,-70.4235816667,11.5,382725.79585,4688203.68999,19,T
1580409269278295206,2,1580409269274504899,,42.337255,-70.4235816667,11.5,382725.79585,4688203.68999,19,T
1580409270280585554,3,1580409270278172016,,42.337255,-70.4235816667,11.5,382725.79585,4688203.68999,19,T
1580409271288668651,4,1580409271286246061,,42.337255,-70.4235816667,11.5,382725.79585,4688203.68999,19,T
1580409272274195306,5,1580409272273705005,,42.337255,-70.4235816667,11.5,382725.79585,4688203.68999,19,T
1580409273272453527,6,1580409273270060062,,42.337255,-70.4235816667,11.5,382725.79585,4688203.68999,19,T
1580409274272260727,7,1580409274269829034,,42.337255,-70.4235816667,11.5,382725.79585,4688203.68999,19,T
1580409275283752533,8,1580409275279434919,,42.337255,-70.42358,11.5,382725.933152,4688203.68769,19,T
1580409276282421663,9,1580409276280004978,,42.337255,-70.42358,11.5,382725.933152,4688203.68769,19,T
1580409277287235874,10,1580409277284813880,,42.337255,-70.42358,11.5,382725.933152,4688203.68769,19,T
1580409278298323190,11,1580409278295988082,,42.337255,-70.42358,11.5,382725.933152,4688203.68769,19,T
1580409279282467078,12,1580409279280097961,,42.337255,-70.42358,11.5,382725.933152,4688203.68769,19,T
1580409280280177969,13,1580409280279674053,,42.337255,-70.42358,11.5,382725.933152,4688203.68769,19,T
1580409281283110352,14,1580409281280689001,,42.337255,-70.42358,11.4,382725.933152,4688203.68769,19,T
1580409282308242857,15,1580409282305799007,,42.3372533333,-70.42358,11.4,382725.930055,4688203.50263,19,T
1580409283318772098,16,1580409283316359043,,42.3372533333,-70.42358,11.4,382725.930055,4688203.50263,19,T
1580409284276088624,17,1580409284273706912,,42.3372533333,-70.42358,11.4,382725.930055,4688203.50263,19,T
1580409285283501696,18,1580409285281079053,,42.3372533333,-70.42358,11.4,382725.930055,4688203.50263,19,T
1580409286283279562,19,1580409286280841112,,42.3372533333,-70.42358,11.4,382725.930055,4688203.50263,19,T
1580409287307697551,20,1580409287303011894,,42.3372533333,-70.42358,11.4,382725.930055,4688203.50263,19,T
1580409288320954526,21,1580409288316704988,,42.3372533333,-70.42358,11.4,382725.930055,4688203.50263,19,T
1580409289324716085,22,1580409289322377920,,42.3372533333,-70.42358,11.4,382725.930055,4688203.50263,19,T
1580409290311360855,23,1580409290306966066,,42.3372533333,-70.42358,11.5,382725.930055,4688203.50263,19,T
1580409291308624005,24,1580409291306258916,,42.3372533333,-70.42358,11.5,382725.930055,4688203.50263,19,T
1580409292282853974,25,1580409292280502080,,42.3372533333,-70.42358,11.5,382725.930055,4688203.50263,19,T
1580409293310476294,26,1580409293308082103,,42.3372533333,-70.4235816667,11.6,382725.792752,4688203.50493,19,T
1580409294305052804,27,1580409294300657987,,42.337255,-70.4235816667,11.6,382725.79585,4688203.68999,19,T
1580409295309996745,28,1580409295307594060,,42.337255,-70.4235816667,11.7,382725.79585,4688203.68999,19,T
1580409296304239486,29,1580409296299668073,,42.337255,-70.4235816667,11.7,382725.79585,4688203.68999,19,T
1580409297310000741,30,1580409297307459115,,42.337255,-70.4235816667,11.7,382725.79585,4688203.68999,19,T
1580409298321535192,31,1580409298319112062,,42.337255,-70.4235816667,11.8,382725.79585,4688203.68999,19,T
1580409299309360089,32,1580409299306437015,,42.337255,-70.4235816667,11.8,382725.79585,4688203.68999,19,T
1580409300302988286,33,1580409300300451993,,42.337255,-70.4235833333,11.9,382725.658548,4688203.69229,19,T
1580409301320514281,34,1580409301316574096,,42.337255,-70.4235833333,11.9,382725.658548,4688203.69229,19,T
1580409302304041550,35,1580409302301439046,,42.337255,-70.4235833333,12.0,382725.658548,4688203.69229,19,T
1580409303286616504,36,1580409303284189939,,42.337255,-70.4235833333,12.0,382725.658548,4688203.69229,19,T
1580409304286606681,37,1580409304284240007,,42.3372566667,-70.4235833333,12.1,382725.661645,4688203.87736,19,T
1580409305287687379,38,1580409305285325050,,42.3372566667,-70.4235833333,12.1,382725.661645,4688203.87736,19,T
1580409306279920867,39,1580409306277532100,,42.3372566667,-70.423585,12.2,382725.524343,4688203.87965,19,T
1580409307309727173,40,1580409307307303905,,42.3372566667,-70.423585,12.2,382725.524343,4688203.87965,19,T
1580409308321762134,41,1580409308317872047,,42.3372566667,-70.423585,12.3,382725.524343,4688203.87965,19,T
1580409309288637840,42,1580409309284290075,,42.3372566667,-70.423585,12.3,382725.524343,4688203.87965,19,T
1580409310310441932,43,1580409310308072090,,42.3372566667,-70.423585,12.4,382725.524343,4688203.87965,19,T
1580409311288530440,44,1580409311284019947,,42.3372566667,-70.4235866667,12.4,382725.387041,4688203.88195,19,T
1580409312288101688,45,1580409312283749103,,42.3372566667,-70.4235866667,12.5,382725.387041,4688203.88195,19,T
1580409313298682269,46,1580409313296277999,,42.3372566667,-70.4235866667,12.6,382725.387041,4688203.88195,19,T
1580409314281074171,47,1580409314276663064,,42.3372583333,-70.4235866667,12.6,382725.390138,4688204.06702,19,T
1580409315288219448,48,1580409315283668994,,42.3372583333,-70.4235866667,12.7,382725.390138,4688204.06702,19,T
1580409316286236347,49,1580409316283797025,,42.3372583333,-70.4235866667,12.7,382725.390138,4688204.06702,19,T
1580409317287273190,50,1580409317284882068,,42.3372583333,-70.4235883333,12.8,382725.252836,4688204.06931,19,T
1580409318297963739,51,1580409318295614004,,42.3372583333,-70.4235883333,12.8,382725.252836,4688204.06931,19,T
1580409319288237124,52,1580409319285878896,,42.3372583333,-70.4235883333,12.9,382725.252836,4688204.06931,19,T
1580409320279571268,53,1580409320275690078,,42.3372583333,-70.4235883333,12.9,382725.252836,4688204.06931,19,T
1580409321289099909,54,1580409321286319017,,42.3372583333,-70.4235883333,12.9,382725.252836,4688204.06931,19,T
1580409322281560212,55,1580409322277318000,,42.3372583333,-70.4235883333,13.0,382725.252836,4688204.06931,19,T
1580409323279022478,56,1580409323276736021,,42.3372583333,-70.4235883333,13.0,382725.252836,4688204.06931,19,T
1580409324289333860,57,1580409324285084962,,42.3372583333,-70.42359,13.0,382725.115534,4688204.07161,19,T
1580409325288809811,58,1580409325286503076,,42.3372583333,-70.42359,13.1,382725.115534,4688204.07161,19,T
1580409326279290915,59,1580409326276968002,,42.3372583333,-70.42359,13.1,382725.115534,4688204.07161,19,T
1580409327286134268,60,1580409327283792972,,42.3372583333,-70.42359,13.2,382725.115534,4688204.07161,19,T
